Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,resp.rt,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,1.681,1.598,230.22037459991407,None,,,,,,,,,,,,,,,,,,,,230.75677259999793,231.26070909993723,0.5066218799911439,1.007141979993321,231.24405849992763,231.36074479995295,231.24405849992763,231.36074479995295,231.3440585999051,None,m,1,231.3440585999051,None,0.9875046999659389,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,1.476,1.589,232.46747899998445,None,,,,,,,,,,,,,,,,,,,,233.0154898999026,233.52901699999347,0.509884380036965,1.0101641800720245,233.51234579994343,233.62926159997005,233.51234579994343,233.62926159997005,233.61235119996127,None,m,1,233.61235119996127,None,0.8151957000372931,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,1.668,1.364,234.55309519998264,None,,,,,,,,,,,,,,,,,,,,235.10580989997834,235.61385929991957,0.5144181401701644,1.0154852401465178,235.59720600000583,235.69723229994997,235.59720600000583,235.69723229994997,235.69723229994997,None,m,1,235.69723229994997,None,0.6504847999894992,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1.406,1.941,236.47163669997826,None,,,,,,,,,,,,,,,,,,,,237.01325329998508,237.51541269989684,0.5049505799543113,1.00523897993844,237.49871219997294,237.59876809990965,237.49871219997294,237.59876809990965,237.59876809990965,None,c,1,237.59876809990965,None,0.6528254000004381,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,1.449,2.149,238.3897403998999,None,,,,,,,,,,,,,,,,,,,,238.94832859991584,239.44995759997983,0.5050716400146484,1.0053748399950564,239.43328449991532,239.55004349991214,239.43328449991532,239.55004349991214,239.53347119991668,None,m,1,239.53347119991668,None,0.8620578000554815,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,0,11,11,10,,,,,,,,,,,,,,,,,,,,,1.576,1.415,240.52402589994017,None,,,,,,,,,,,,,,,,,,,,241.0607369999634,241.56814190000296,0.5120211801258847,1.0123385800980031,241.5514911999926,241.66833149990998,241.5514911999926,241.66833149990998,241.6515162999276,None,c,1,241.6515162999276,None,0.7120793000794947,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,,,,,1,0,12,6,,,,,,,,,,,,,,,,,,,,,1.42,1.721,242.49154519999865,None,,,,,,,,,,,,,,,,,,,,243.0323849999113,243.53625519992784,0.507713979925029,1.0080049799289554,243.5195834999904,243.6196233999217,243.5195834999904,243.6196233999217,243.6196233999217,None,m,1,243.6196233999217,None,0.7279535999987274,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,1,1,13,8,,,,,,,,,,,,,,,,,,,,,1.675,1.776,244.47645349998493,None,,,,,,,,,,,,,,,,,,,,245.01706859993283,245.5209945999086,0.5067395800724626,1.0070574800483882,245.50435579998884,245.62102590000723,245.50435579998884,245.62102590000723,245.6043851999566,None,m,0,245.6043851999566,None,0.6631953000323847,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,,,,,1,2,14,5,,,,,,,,,,,,,,,,,,,,,1.668,1.286,246.3947099999059,None,,,,,,,,,,,,,,,,,,,,246.93233819992747,247.4390569999814,0.5115422799717635,1.0126027798978612,247.42241799994372,247.5391074999934,247.42241799994372,247.5391074999934,247.52243329992052,None,m,1,247.52243329992052,None,0.6975359000498429,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,,,,,1,3,15,7,,,,,,,,,,,,,,,,,,,,,1.5,1.236,248.34963809989858,None,,,,,,,,,,,,,,,,,,,,248.88748619996477,249.39057679998223,0.5054124799789861,1.0056532800663263,249.3739391999552,249.49063079990447,249.3739391999552,249.49063079990447,249.47394179995172,None,m,1,249.47394179995172,None,0.7936611999757588,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,1,4,16,1,,,,,,,,,,,,,,,,,,,,,1.578,2.447,250.39761569991242,None,,,,,,,,,,,,,,,,,,,,250.93565030000173,251.44193309999537,0.5113742799730971,1.011662380071357,251.42531520000193,251.54200189991388,251.42531520000193,251.54200189991388,251.52531579998322,None,m,1,251.52531579998322,None,0.6622643999289721,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,,,,,1,5,17,3,,,,,,,,,,,,,,,,,,,,,1.702,2.226,252.3150675999932,None,,,,,,,,,,,,,,,,,,,,252.86493819998577,253.37667619995773,0.5062402799958363,1.0065414799610153,253.36000489990693,253.46005879994482,253.36000489990693,253.46005879994482,253.46005879994482,None,m,1,253.46005879994482,None,0.6795348000014201,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,,,,,1,6,18,2,,,,,,,,,,,,,,,,,,,,,1.525,1.287,254.2666176999919,None,,,,,,,,,,,,,,,,,,,,254.80797029996756,255.31144369998947,0.5058148800162598,1.006051880074665,255.29477769997902,255.41148929996416,255.29477769997902,255.41148929996416,255.39475360000506,None,m,1,255.39475360000506,None,0.9848479999927804,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,1,7,19,4,,,,,,,,,,,,,,,,,,,,,1.468,1.364,256.50290899991523,None,,,,,,,,,,,,,,,,,,,,257.0581686999649,257.56308479991276,0.507937140064314,1.008237240021117,257.5463789999485,257.66308639990166,257.5463789999485,257.66308639990166,257.64640460000373,None,c,1,257.64640460000373,None,1.1171312999213114,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,1,8,20,0,,,,,,,,,,,,,,,,,,,,,1.422,2.401,258.88702049991116,None,,,,,,,,,,,,,,,,,,,,259.42608869995456,259.93140709993895,0.5094852800248191,1.0097812799504027,259.9147473999765,260.0147830999922,259.9147473999765,260.0147830999922,260.0147830999922,None,c,1,260.0147830999922,None,0.7808554999064654,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,1,9,21,9,,,,,,,,,,,,,,,,,,,,,1.403,2.145,260.92201149999164,None,,,,,,,,,,,,,,,,,,,,261.4605517999735,261.96630849991925,0.5115069800522178,1.0123579800128937,261.9497363999253,262.0496014999226,261.9497363999253,262.0496014999226,262.0496014999226,None,c,1,262.0496014999226,None,0.8901618999661878,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,1,10,22,10,,,,,,,,,,,,,,,,,,,,,1.555,2.213,263.07768220000435,None,,,,,,,,,,,,,,,,,,,,263.6152410999639,264.1177592999302,0.5030504800379276,1.004098579986021,264.1011161999777,264.21779669995885,264.1011161999777,264.21779669995885,264.2011265999172,None,c,1,264.2011265999172,None,1.090658700093627,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,1,11,23,11,,,,,,,,,,,,,,,,,,,,,1.747,2.241,265.4264262999641,None,,,,,,,,,,,,,,,,,,,,265.97557819995563,266.4861234999262,0.5039142798632383,1.0042196798603982,266.4694712999044,266.5861785999732,266.4694712999044,266.5861785999732,266.56950179999694,None,c,1,266.56950179999694,None,0.8180491999955848,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,,,,,2,0,24,5,,,,,,,,,,,,,,,,,,,,,1.53,2.414,267.50995929993223,None,,,,,,,,,,,,,,,,,,,,268.0484412999358,268.55432489991654,0.5101693799952045,1.0112059799721465,268.53764479991514,268.65512649994344,268.53764479991514,268.65512649994344,268.63837419997435,None,m,1,268.63837419997435,None,1.0692260999931023,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,2,1,25,8,,,,,,,,,,,,,,,,,,,,,1.605,1.712,269.8456618000055,None,,,,,,,,,,,,,,,,,,,,270.3834069999866,270.88929349998944,0.5115618800045922,1.0118830800056458,270.8726559999632,270.989367299946,270.8726559999632,270.989367299946,270.97270889999345,None,c,1,270.97270889999345,None,0.7347987999673933,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,2,2,26,0,,,,,,,,,,,,,,,,,,,,,1.577,2.168,271.82938069989905,None,,,,,,,,,,,,,,,,,,,,272.36786239990033,272.87407339992933,0.5129397800192237,1.0131880800472572,272.85744219995104,272.9575476999162,272.85744219995104,272.9575476999162,272.9575476999162,None,c,1,272.9575476999162,None,0.6699508000165224,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,2,3,27,1,,,,,,,,,,,,,,,,,,,,,1.486,2.452,273.76490690000355,None,,,,,,,,,,,,,,,,,,,,274.30456209997647,274.8088321000105,0.506834680098109,1.007154680090025,274.7921505999984,274.908867299906,274.7921505999984,274.908867299906,274.89214949996676,None,m,1,274.89214949996676,None,0.6233628999907523,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,2,4,28,4,,,,,,,,,,,,,,,,,,,,,1.586,2.374,275.6492039998993,None,,,,,,,,,,,,,,,,,,,,276.1874916999368,276.6935161999427,0.5117244799621403,1.0119728799909353,276.67685970000457,276.79354499990586,276.67685970000457,276.79354499990586,276.7768753999844,None,c,1,276.7768753999844,None,0.7706264000153169,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,,,,,2,5,29,2,,,,,,,,,,,,,,,,,,,,,1.64,1.356,277.6834909999743,None,,,,,,,,,,,,,,,,,,,,278.2251999999862,278.7284835999599,0.5062895800219849,1.0064215800957754,278.7117907999782,278.8285419999156,278.7117907999782,278.8285419999156,278.81182770000305,None,m,1,278.81182770000305,None,0.6396030000178143,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,,,,,2,6,30,3,,,,,,,,,,,,,,,,,,,,,1.602,2.307,279.585322799976,None,,,,,,,,,,,,,,,,,,,,280.1256234999746,280.6296790000051,0.5067491800291464,1.0070473799714819,280.61302159994375,280.71304649999365,280.61302159994375,280.71304649999365,280.71304649999365,None,m,1,280.71304649999365,None,0.9304671999998391,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,,,,,2,7,31,7,,,,,,,,,,,,,,,,,,,,,1.678,1.351,281.7702180999331,None,,,,,,,,,,,,,,,,,,,,282.32567729998846,282.8313261999283,0.5112831400474533,1.011546240071766,282.8146848999895,282.93135119997896,282.8146848999895,282.93135119997896,282.9145976,None,m,1,282.9145976,None,1.0807747999206185,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,2,8,32,10,,,,,,,,,,,,,,,,,,,,,1.693,1.988,284.1211508999113,None,,,,,,,,,,,,,,,,,,,,284.65973329998087,285.16632129997015,0.5112933799391612,1.011591579997912,285.1496547999559,285.2663491999265,285.1496547999559,285.2663491999265,285.2496674999129,None,c,1,285.2496674999129,None,0.8259074001107365,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,,,,,2,9,33,6,,,,,,,,,,,,,,,,,,,,,1.527,1.685,286.2068358999677,None,,,,,,,,,,,,,,,,,,,,286.74782769999,287.25113359990064,0.507346980040893,1.0076174800051376,287.2344859999139,287.33451739989687,287.2344859999139,287.33451739989687,287.33451739989687,None,m,1,287.33451739989687,None,0.661018899991177,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
