Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,1.519,1.74,198.0626437999308,None,,,,,,,,,,,,,,,,,,,,198.6009864001535,199.1059258999303,0.5093479794450104,1.0096215792000294,199.08924759970978,199.1892669997178,199.08924759970978,199.1892669997178,199.1892669997178,None,c,1,199.1892669997178,None,0.8710694001056254,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1.658,2.497,200.19653679989278,None,,,,,,,,,,,,,,,,,,,,200.73929090006277,201.24079609988257,0.5020315800793469,1.0025136796757579,201.22418459970504,201.34112640004605,201.22418459970504,201.34112640004605,201.32436560001224,None,c,0,201.32436560001224,None,1.1519248001277447,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,8,8,11,,,,,,,,,,,,,,,,,,,,,1.775,1.942,202.59953190013766,None,,,,,,,,,,,,,,,,,,,,203.14164329972118,203.64254559995607,0.49940948002040386,0.9999073799699545,203.6258378997445,203.74260739982128,203.6258378997445,203.74260739982128,203.74260739982128,None,m,0,203.74260739982128,None,1.4857646999880672,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,,,,,0,9,9,3,,,,,,,,,,,,,,,,,,,,,1.587,1.221,205.35162029974163,None,,,,,,,,,,,,,,,,,,,,205.89355609985068,206.39448319980875,0.5012606801465154,1.0014877798967063,206.37793219974265,206.4779268000275,206.37793219974265,206.4779268000275,206.4779268000275,None,m,1,206.4779268000275,None,1.3744147000834346,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,,,,,0,10,10,1,,,,,,,,,,,,,,,,,,,,,1.508,1.909,207.98549999995157,None,,,,,,,,,,,,,,,,,,,,208.54668750008568,209.04648389993235,0.5001841401681304,1.0004401402547956,209.02975849993527,209.14650829974562,209.02975849993527,209.14650829974562,209.14650829974562,None,m,1,209.14650829974562,None,0.9778805002570152,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,0,11,11,4,,,,,,,,,,,,,,,,,,,,,1.766,2.252,210.2541721998714,None,,,,,,,,,,,,,,,,,,,,210.79282790003344,211.29806170007214,0.5093931797891855,1.0097208796069026,211.2813455001451,211.39814790012315,211.2813455001451,211.39814790012315,211.3813748997636,None,c,1,211.3813748997636,None,1.0148037001490593,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,1,0,12,0,,,,,,,,,,,,,,,,,,,,,1.472,2.248,212.52183800004423,None,,,,,,,,,,,,,,,,,,,,213.0634416998364,213.56638780003414,0.5062637799419463,1.0066996798850596,213.54967139987275,213.64970130007714,213.54967139987275,213.64970130007714,213.64970130007714,None,c,1,213.64970130007714,None,1.2746542999520898,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,1,1,13,10,,,,,,,,,,,,,,,,,,,,,1.505,1.565,215.05868649994954,None,,,,,,,,,,,,,,,,,,,,215.59870619978756,216.10156899970025,0.5056776800192893,1.0059854802675545,216.0849211998284,216.20161119988188,216.0849211998284,216.20161119988188,216.18494309997186,None,c,1,216.18494309997186,None,1.0433625997975469,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,,,,,1,2,14,7,,,,,,,,,,,,,,,,,,,,,1.8,2.067,217.3592881001532,None,,,,,,,,,,,,,,,,,,,,217.8974661999382,218.40326680010185,0.5098396795801818,1.010068479925394,218.38659729994833,218.50324869994074,218.38659729994833,218.50324869994074,218.48655280005187,None,c,0,218.48655280005187,None,0.9496507002040744,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,1,3,15,9,,,,,,,,,,,,,,,,,,,,,1.49,1.995,219.55997559987009,None,,,,,,,,,,,,,,,,,,,,220.13542030006647,220.63818709971383,0.5065331999212503,1.0067585995420814,220.6214923998341,220.72148909978569,220.6214923998341,220.72148909978569,220.72148909978569,None,None,0,220.72148909978569,None,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
