subject,trialnum,shapeassociation,matchingcondition,response,correct,latency
995543580,33,self,matching,47,0,251
995543580,35,friend,mismatching,47,1,874
995543580,37,friend,matching,48,1,759
995543580,39,friend,matching,47,0,672
995543580,41,friend,matching,48,1,726
995543580,43,self,mismatching,48,0,625
995543580,45,self,matching,48,1,924
995543580,47,friend,matching,48,1,827
995543580,49,friend,matching,48,1,513
995543580,51,self,mismatching,47,1,856
995543580,53,self,mismatching,47,1,578
995543580,55,self,matching,48,1,458
995543580,57,self,matching,48,1,312
995543580,59,self,matching,48,1,288
995543580,61,friend,mismatching,47,1,724
995543580,63,friend,mismatching,47,1,320
995543580,65,friend,matching,48,1,624
995543580,67,friend,mismatching,47,1,444
995543580,69,friend,matching,48,1,672
995543580,71,friend,mismatching,47,1,483
995543580,73,friend,matching,48,1,411
995543580,75,self,mismatching,47,1,990
995543580,77,self,mismatching,47,1,511
995543580,79,friend,matching,48,1,582
995543580,81,self,mismatching,47,1,811
995543580,83,friend,mismatching,47,1,797
995543580,85,self,matching,48,1,717
995543580,87,self,mismatching,48,0,930
995543580,89,friend,mismatching,48,0,861
995543580,91,friend,matching,48,1,795
995543580,93,friend,matching,48,1,860
995543580,95,friend,matching,48,1,461
995543580,97,self,matching,48,1,592
995543580,99,friend,matching,48,1,567
995543580,101,self,mismatching,47,1,415
995543580,103,friend,matching,48,1,580
995543580,105,self,matching,48,1,515
995543580,107,self,matching,48,1,395
995543580,109,self,mismatching,48,0,572
995543580,111,friend,matching,48,1,748
995543580,113,self,matching,48,1,601
995543580,115,friend,mismatching,47,1,335
995543580,117,self,mismatching,48,0,613
995543580,119,self,matching,48,1,564
995543580,121,self,matching,48,1,430
995543580,123,self,mismatching,47,1,681
995543580,125,friend,matching,48,1,710
995543580,127,friend,matching,48,1,795
995543580,129,friend,matching,48,1,519
995543580,131,friend,matching,48,1,378
995543580,133,self,mismatching,47,1,724
995543580,135,friend,mismatching,47,1,711
995543580,137,friend,mismatching,47,1,314
995543580,139,self,matching,48,1,450
995543580,141,friend,matching,48,1,686
995543580,143,friend,mismatching,47,1,542
995543580,145,self,matching,47,0,725
995543580,147,friend,mismatching,47,1,635
995543580,149,self,mismatching,47,1,406
995543580,151,self,mismatching,47,1,329
995543580,153,self,mismatching,47,1,484
995543580,155,friend,matching,48,1,643
995543580,157,friend,matching,48,1,525
995543580,159,friend,matching,48,1,409
995543580,161,self,matching,48,1,744
995543580,163,friend,matching,48,1,659
995543580,165,friend,mismatching,47,1,487
995543580,167,friend,matching,47,0,469
995543580,169,self,matching,48,1,596
995543580,171,friend,mismatching,47,1,554
995543580,173,self,matching,48,1,551
995543580,175,self,matching,48,1,745
995543580,177,friend,mismatching,47,1,536
995543580,179,self,mismatching,47,1,801
995543580,181,self,matching,48,1,516
995543580,183,friend,mismatching,47,1,694
995543580,185,self,matching,48,1,603
995543580,187,self,matching,48,1,325
995543580,189,friend,matching,48,1,750
995543580,191,self,mismatching,47,1,648
995543580,193,friend,matching,48,1,695
995543580,195,self,mismatching,48,0,790
995543580,197,self,matching,48,1,745
995543580,199,self,mismatching,47,1,647
995543580,201,friend,mismatching,47,1,592
