,subjectGroup,subject,age,sex,education,handedness,TaskName,BlockNumber,stimPos,stim1,stim2,shape,word,MATCHkey,RT,correct,question,response,condition,TaskType,Association
38451,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,diamond,octagon,neutralyou,NA,Yneutral_j,485,0,NA,k,pair,RG_incongruent,neutralyou
38551,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,octagon,NA,you,NA,Yneutral_j,774,1,NA,j,single,RG_incongruent,you
38651,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,diamond,octagon,neutralyou,NA,Yneutral_j,673,1,NA,j,pair,RG_incongruent,neutralyou
38751,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,rhomboid,NA,happy,NA,Yneutral_j,603,1,NA,k,single,RG_incongruent,happy
38851,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,triangle,NA,friend,NA,Yneutral_j,830,0,NA,j,single,RG_incongruent,friend
38951,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,octagon,diamond,youneutral,NA,Yneutral_j,369,0,NA,k,pair,RG_incongruent,youneutral
39051,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,triangle,NA,friend,NA,Yneutral_j,299,0,NA,j,single,RG_incongruent,friend
39181,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,octagon,NA,you,NA,Yneutral_j,701,1,NA,j,single,RG_incongruent,you
39253,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,triangle,NA,friend,NA,Yneutral_j,466,1,NA,k,single,RG_incongruent,friend
39351,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,octagon,NA,you,NA,Yneutral_j,571,1,NA,j,single,RG_incongruent,you
39451,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,triangle,NA,friend,NA,Yneutral_j,621,0,NA,j,single,RG_incongruent,friend
39551,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,octagon,diamond,youneutral,NA,Yneutral_j,793,1,NA,j,pair,RG_incongruent,youneutral
39651,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,triangle,rhomboid,friendhappy,NA,Yneutral_j,560,1,NA,k,pair,RG_incongruent,friendhappy
39751,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,diamond,octagon,neutralyou,NA,Yneutral_j,572,0,NA,k,pair,RG_incongruent,neutralyou
39851,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,rhomboid,NA,happy,NA,Yneutral_j,630,1,NA,k,single,RG_incongruent,happy
39951,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,triangle,rhomboid,friendhappy,NA,Yneutral_j,682,1,NA,k,pair,RG_incongruent,friendhappy
40051,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,triangle,rhomboid,friendhappy,NA,Yneutral_j,457,1,NA,k,pair,RG_incongruent,friendhappy
40181,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,triangle,NA,friend,NA,Yneutral_j,514,1,NA,k,single,RG_incongruent,friend
40253,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,triangle,NA,friend,NA,Yneutral_j,422,1,NA,k,single,RG_incongruent,friend
40351,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,rhomboid,NA,happy,NA,Yneutral_j,603,0,NA,j,single,RG_incongruent,happy
